Statistical profiling result from isolate-0x1046a1000-5642-v8.log, (6527 ticks, 17 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      8    0.1%    0.1%  t __ZN2v88internal25FunctionCallbackArguments4CallENS0_15CallHandlerInfoE
      8    0.1%    0.1%  t __ZN2v88internal12_GLOBAL__N_119HandleApiCallHelperILb0EEENS0_11MaybeHandleINS0_6ObjectEEEPNS0_7IsolateENS0_6HandleINS0_10HeapObjectEEESA_NS8_INS0_20FunctionTemplateInfoEEENS8_IS4_EENS0_16BuiltinArgumentsE
      7    0.1%    0.1%  t __ZN4node6Buffer12_GLOBAL__N_111StringSliceILNS_8encodingE1EEEvRKN2v820FunctionCallbackInfoINS4_5ValueEEE
      7    0.1%    0.1%  t __ZN2v88internal14LookupIteratorC2EPNS0_7IsolateENS0_6HandleINS0_6ObjectEEENS4_INS0_4NameEEEmNS4_INS0_10JSReceiverEEENS1_13ConfigurationE
      7    0.1%    0.1%  T __ZN4node30ReportWritesToJSStreamListener24OnStreamAfterReqFinishedEPNS_9StreamReqEi
      7    0.1%    0.1%  T __ZN4node12ShutdownWrap6OnDoneEi
      6    0.1%    0.1%  t __ZN2v88internal17PrototypeIterator7AdvanceEv
      6    0.1%    0.1%  T __ZN4node7TCPWrap3NewERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      6    0.1%    0.1%  T __ZN4node27DTRACE_HTTP_SERVER_RESPONSEERKN2v820FunctionCallbackInfoINS0_5ValueEEE
      6    0.1%    0.1%  T __ZN4node10contextify17ContextifyContext22PropertyGetterCallbackEN2v85LocalINS2_4NameEEERKNS2_20PropertyCallbackInfoINS2_5ValueEEE
      5    0.1%    0.1%  t __ZN4node10StreamBase5WriteEP8uv_buf_tmP11uv_stream_sN2v85LocalINS5_6ObjectEEE
      5    0.1%    0.1%  T __ZN4node9AsyncWrap12MakeCallbackEN2v85LocalINS1_8FunctionEEEiPNS2_INS1_5ValueEEE
      5    0.1%    0.1%  T __ZN4node21InternalCallbackScope5CloseEv
      5    0.1%    0.1%  T __ZN4node10StreamBase9GetObjectEv
      4    0.1%    0.1%  t __ZZN4node15LibuvStreamWrap9ReadStartEvEN3$_18__invokeEP11uv_handle_smP8uv_buf_t
      4    0.1%    0.1%  t __ZNSt3__124__put_character_sequenceIcNS_11char_traitsIcEEEERNS_13basic_ostreamIT_T0_EES7_PKS4_m
      4    0.1%    0.1%  t __ZN4node2fsL5LStatERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      4    0.1%    0.1%  t __ZN2v88internal10JSReceiver11HasPropertyENS0_6HandleIS1_EENS2_INS0_4NameEEE
      4    0.1%    0.1%  t __ZN2v812_GLOBAL__N_114CallDepthScopeILb1EEC1EPNS_8internal7IsolateENS_5LocalINS_7ContextEEE
      4    0.1%    0.1%  t __ZN2v812_GLOBAL__N_114CallDepthScopeILb0EEC1EPNS_8internal7IsolateENS_5LocalINS_7ContextEEE
      4    0.1%    0.1%  T __ZThn88_N4node15LibuvStreamWrap10DoTryWriteEPP8uv_buf_tPm
      4    0.1%    0.1%  T __ZN4node7binding18GetInternalBindingERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      4    0.1%    0.1%  T __ZN4node10StreamBase6WritevERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      4    0.1%    0.1%  T __ZN2v87Isolate17GetCurrentContextEv
      4    0.1%    0.1%  T __ZN2v87Context4ExitEv
      4    0.1%    0.1%  T __ZN2v86Object3GetENS_5LocalINS_7ContextEEEj
      4    0.1%    0.1%  T __ZN2v811HandleScopeD1Ev
      3    0.0%    0.0%  t __ZN4nodeL8EnvQueryEN2v85LocalINS0_4NameEEERKNS0_20PropertyCallbackInfoINS0_7IntegerEEE
      3    0.0%    0.0%  t __ZN4node9inspector12_GLOBAL__N_120InspectorConsoleCallERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      3    0.0%    0.0%  t __ZN4node12_GLOBAL__N_16Parser10InitializeERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      3    0.0%    0.0%  T _mach_port_get_attributes
      3    0.0%    0.0%  T __ZN4node9AsyncWrap20EmitTraceEventBeforeEv
      3    0.0%    0.0%  T __ZN4node9AsyncWrap10AsyncResetEN2v85LocalINS1_6ObjectEEEdb
      3    0.0%    0.0%  T __ZN4node14StreamListener21OnStreamAfterShutdownEPNS_12ShutdownWrapEi
      3    0.0%    0.0%  T __ZN2v86Object3GetENS_5LocalINS_7ContextEEENS1_INS_5ValueEEE
      3    0.0%    0.0%  T __ZN2v811HandleScopeC1EPNS_7IsolateE
      2    0.0%    0.0%  t __pthread_mutex_global_init
      2    0.0%    0.0%  t __ZNSt3__15dequeIN4node5http218NgHttp2StreamWriteENS_9allocatorIS3_EEE19__add_back_capacityEv
      2    0.0%    0.0%  t __ZNSt3__112__hash_tableIN4node19CleanupHookCallbackENS2_4HashENS2_5EqualENS_9allocatorIS2_EEE4findIS2_EENS_15__hash_iteratorIPNS_11__hash_nodeIS2_PvEEEERKT_
      2    0.0%    0.0%  t __ZN4node9StreamReq7DisposeEv
